101	101,102,51
102	74,34,102
103	34,103,72
104	31,104,61,90,48
105	74,103,102,30,61,90,81,72,48,104,66,93,50,59
106	74,103,102,30,93,51,81,72,48
107	30,48
108	30,31,74,72,90,81,104
109	81,34,72,104
110	30,102,61,81,96,40
111	30,103,102,61,51,72,90,81,45,49
112	74,103,102,30,72,81,90,61,40,27
113	103,74,102,34,81,48,61,90,72,68,78,66,104
114	74,61,72,81,34,103,102
115	74,102,103,72,61,81,34,40
116	34
117	30
118	74,104,72,102,103,81,44,88,71,78,128,77,53
119	31,104
120	72,81,61,101,34
121	44,27,34,74
122	30,107,81,31
123	74,30,48
124	103,81,101,34,48,104,78,65,107
125	72,81,102,34,61
126	27,34,83,19,74,30,103,72,81,61,102,104
127	30,103,74,34,61,81,101,93,65,71
128	74,30,34,103,81,102,72,88,90,61
129	8,185,1,5
130	30,34,31,74,103,81,102,72,90,61,71,78
131	103,102,61,51
132	74,34,103,48,102,90,101,61,68,44,40,78,79,127,51,27,117
133	27,34,18,22,74,81,102,103,61,51,72,90,71
135	30,34,74,81,102,103,61,53,54,90
136	31,25,27,74,34,103,61,90,72,81,102,104,66,65,77,53,68,79,88
137	74,103,102,30,81,61,51,72,48,90,93,96
138	0,34,5,30,74,72,103,81
139	34,33,74,103,31,81,102,72,61,90,104
140	30,103,102,48,90,61,96,66
141	74,30,31,61,81,50,96,68,40
142	27,34,83,19,74,30,103,102,72,104,90,93,55,51
143	30,34,74,72,103,102,104,61,90,81,51,107,88,154,101,48,117
144	8,185,1,5,30,31,138
145	103,102,61,90,68,65
146	27,34,83,22,74,61,102,51,90,72,81
147	34,83,19,30,31,74,103,102
148	34,30,31,72,90,61
149	30,74,31,102,61,72
150	8,185,1,5,30,34,31,74,102,103,104,51,96
151	8,185,1,5,72,74,71,78,34,81
152	8,185,1,5,102,27,30,34
153	31,74,103,102,81,48,90,61,66
154	72,61,90
155	18,104,61,81,90,101,117
156	27,34,30,74,72,103,102,90,61,81,117,31,101,48
157	185,1,5,27,34
158	0,18,30,74,31,103,102,72,48,81,117,101
159	18,22,30,74,72,103,61,104,90,101
160	8,185,1,5,18,27,31
161	27,34,30,43,81,38,102,103,61,88,72,68
162	0,5,30,31,74,103,102
163	34,30,74,31,101,103,72,81,102,44,117,48
164	25,27,30,74,34,72,101,61,81
165	65,90
166	72,34,103,65,61,102,81,154
167	51,101,61,90,48,68,104,27,154
168	27,30,74,72,103,102,81,61,117,68,79
169	101,104,48,77
170	8,185,1,5
171	8,185,1,5,74,34,103,31,102,72
172	30,102,81,61,72,90
173	8,185,1,5,34,40,72,74
174	8,185,1,5,103,74,102,72
175	103,72,102,101,61
176	27,34,83,19,30,74,72,81,89,101,169
177	8,1,5,31,74,101,30,122
178	33,74,103,31,102,81,61,27
179	8,185,1,5
