30	276:5.57225507221,184:4.98703647492,495:4.97677286968,231:4.96071191958,476:4.86082673301,204:4.84730485926,380:4.83071179078,200:4.8121125411,458:4.7839295408,258:4.73363016277,292:4.7167831999,214:4.71460529083,260:4.68069809054,162:4.66043913869,484:4.64218049228
31	220:5.46395077184,276:5.43532668059,479:5.35860689702,171:5.26724663274,260:5.26035327471,472:5.23367594645,380:5.17477965615,200:5.1278210897,266:5.10826886829,457:5.09461890934,458:5.03966665228,308:5.02522998998,271:5.00903721713,292:4.99317681814,221:4.9902940953
32	284:6.22447881055,221:6.17500062954,214:5.9016737559,227:5.76827443868,474:5.76161408362,498:5.68693286592,341:5.62363873945,475:5.58899644339,230:5.55959132452,459:5.55137252503,270:5.49696599781,471:5.47193447441,463:5.40128075768,160:5.35940086282,497:5.35587811083
33	476:5.3006662153,341:5.15241724347,214:5.10795332392,161:5.02146355128,272:5.02138739584,200:4.99731275826,177:4.97949071544,204:4.94444502892,469:4.94045745908,482:4.88441191788,221:4.87202403493,262:4.87053158839,458:4.79921807402,486:4.7943689086,479:4.76280225498
34	214:5.3255229925,476:5.29782037828,284:5.23609264435,464:5.09777171761,200:5.08213427264,458:4.88587380957,278:4.88208672265,486:4.82989905066,471:4.78556258202,181:4.74958160087,273:4.70111594471,308:4.69261608162,129:4.61336760876,268:4.60426838962,343:4.58421957319
35	200:6.06225081901,284:5.7685520145,276:5.65364907997,160:5.63058726515,479:5.44706511358,266:5.4173653315,214:5.41354130209,144:5.37281825837,129:5.36354903024,171:5.35810170915,476:5.35778038684,272:5.30993465607,227:5.26399238026,285:5.25940017628,265:5.247554834
36	461:4.80754445582,200:4.36798068324,341:4.09260326235,214:3.94077735535,204:3.84914959339,209:3.71162642959,264:3.69843224257,160:3.66550944259,202:3.66046922477,278:3.6449416054,144:3.59204015409,84:3.57596955702,498:3.5672542102,152:3.5660353311,162:3.54815354004
37	144:5.19647121029,292:5.12530867279,264:5.12261788188,476:5.12066541657,184:5.07078401906,469:5.05835472406,479:5.04274468868,458:4.9536625665,341:4.93323545405,262:4.89339162455,276:4.85483136682,284:4.8542785144,448:4.85223397788,268:4.80186961296,393:4.79097969962
38	497:5.06338995005,240:4.88703621034,278:4.84895920895,200:4.69602683844,129:4.64050199342,308:4.62651385531,352:4.44962465496,160:4.39483007064,280:4.39419059875,475:4.34727483276,380:4.33531172687,157:4.33146059527,276:4.32786173969,184:4.2112149745,173:4.19335714343
39	479:5.79643176254,200:5.72071656978,276:5.65777354404,171:5.63223955178,184:5.63009850644,129:5.54230623413,221:5.50645044156,220:5.37848573988,309:5.36766814106,495:5.35789009513,322:5.35139218604,472:5.33658479016,214:5.31591685687,476:5.27848625297,280:5.21346876482
40	278:4.93700520283,129:4.92627761751,214:4.87994763849,479:4.83663537672,258:4.82264182129,262:4.72515918396,482:4.69835873241,471:4.66079451896,240:4.63057090484,184:4.6142702465,152:4.60469775215,266:4.56241632234,56:4.53215667106,200:4.53080694262,499:4.44591131232
